"ID","Name","InChI","InChIKey","SMILES","Solubility","SD","Ocurrences","Group","MolWt","MolLogP","MolMR","HeavyAtomCount","NumHAcceptors","NumHDonors","NumHeteroatoms","NumRotatableBonds","NumValenceElectrons","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","RingCount","TPSA","LabuteASA","BalabanJ","BertzCT"
"B-605","1-pentanethiol","InChI=1S/C5H12S/c1-2-3-4-5-6/h6H,2-5H2,1H3","ZRKMQKLGEQPLNS-UHFFFAOYSA-N","CCCCCS","-2.8248","0.0","1","G1","104.218","2.1064000000000003","33.377999999999986","6.0","1.0","1.0","1.0","3.0","38.0","0.0","0.0","0.0","0.0","0.0","45.35408614881771","2.3390923149762908","15.900134529890124"
"B-607","2-chloroethyl vinyl ether","InChI=1S/C4H7ClO/c1-2-6-4-3-5/h2H,1,3-4H2","DNJRKFKAFWSXSE-UHFFFAOYSA-N","ClCCOC=C","-2.3951","0.0","1","G1","106.55199999999999","1.3853","26.86899999999999","6.0","1.0","0.0","2.0","3.0","36.0","0.0","0.0","0.0","0.0","9.23","42.56128579522367","2.4884037718761123","36.529325012980806"
"B-608","2-ethoxyethanol","InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3","ZNQVEEAIQZEUHB-UHFFFAOYSA-N","CCOCCO","1.0452","0.0","1","G1","90.122","0.015200000000000047","23.578799999999994","6.0","2.0","1.0","2.0","3.0","38.0","0.0","0.0","0.0","0.0","29.46","37.741856352722266","2.3390923149762908","17.509775004326936"
"B-609","piperazine","InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2","GLUUGHFHXGJENI-UHFFFAOYSA-N","C1CNCCN1","1.0648","0.0","1","G1","86.138","-0.8208","25.739399999999993","6.0","2.0","2.0","2.0","0.0","36.0","0.0","1.0","1.0","1.0","24.06","37.92797058470623","2.0","21.019550008653873"
"B-611","morpholine","InChI=1S/C4H9NO/c1-3-6-4-2-5-1/h5H,1-4H2","YNAVUWVOSKDBBP-UHFFFAOYSA-N","C1COCCN1","1.0599","0.0","1","G1","87.122","-0.3938000000000001","23.688699999999994","6.0","2.0","1.0","2.0","0.0","36.0","0.0","1.0","1.0","1.0","21.259999999999998","37.49165363060507","2.0","23.019550008653873"
"B-613","diisobutylamine","InChI=1S/C8H19N/c1-5-7(3)9-8(4)6-2/h7-9H,5-6H2,1-4H3/p+1/t7-,8+","OBYVIBDTOCAXSN-OCAPTIKFSA-O","CC[C@H](C)[NH2+][C@H](C)CC","-1.7690000000000001","0.0","1","G1","130.255","1.1468","41.43140000000001","9.0","0.0","1.0","1.0","4.0","56.0","0.0","0.0","0.0","0.0","16.61","58.84370801221385","3.2230469044906185","53.587975038942446"
"B-615","acetic acid, 2,2'-oxybis-","InChI=1S/C4H6O5/c5-3(6)1-9-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)","QEVGZEDELICMKH-UHFFFAOYSA-N","OC(=O)COCC(O)=O","0.4927","0.0","1","G1","134.087","-0.8277999999999999","26.090599999999995","9.0","3.0","2.0","5.0","4.0","52.0","0.0","0.0","0.0","0.0","83.83000000000001","50.8591343050058","3.1028259423155773","104.12640240679957"
"B-617","heptanoic acid","InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)","MNWFXJYAOYHMED-UHFFFAOYSA-N","CCCCCCC(O)=O","-1.6646","0.0","1","G1","130.18699999999998","2.0414","36.39479999999999","9.0","1.0","1.0","2.0","5.0","54.0","0.0","0.0","0.0","0.0","37.3","55.884659566448974","2.828868134909685","78.98533616859814"
"B-618","ethoxyethylacetate","InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3","SVONRAPFKPVNKG-UHFFFAOYSA-N","CCOCCOC(C)=O","0.2716","0.0","1","G1","132.159","0.5860000000000001","33.12599999999999","9.0","3.0","0.0","3.0","4.0","54.0","0.0","0.0","0.0","0.0","35.53","54.95257415887011","2.828868134909685","80.37215811651096"
"B-620","decanedioic acid","InChI=1S/C10H18O4/c11-9(12)7-5-3-1-2-4-6-8-10(13)14/h1-8H2,(H,11,12)(H,13,14)","CXMXRPHRNRROMY-UHFFFAOYSA-N","OC(=O)CCCCCCCCC(O)=O","-2.3059","0.3248702560000001","2","G3","202.24999999999997","2.2763999999999998","52.207600000000035","14.0","2.0","2.0","4.0","9.0","82.0","0.0","0.0","0.0","0.0","74.6","83.93524176187861","2.9895441287192144","156.96081175542733"
"B-621","triethylene glycol, dinitrate","InChI=1S/C6H12N2O8/c9-7(10)15-5-3-13-1-2-14-4-6-16-8(11)12/h1-6H2","AGCQZYRSTIRJFM-UHFFFAOYSA-N","[O-][N+](=O)OCCOCCOCCO[N+]([O-])=O","-1.561","0.0","1","G1","240.16799999999995","-0.5638000000000001","47.53080000000003","16.0","8.0","0.0","10.0","11.0","94.0","0.0","0.0","0.0","0.0","123.20000000000002","90.23217096179565","2.9847083013580864","188.70521621571416"
"B-623","diethylenetriamine","InChI=1S/C4H13N3/c5-1-3-7-4-2-6/h7H,1-6H2","RPNUMPOLZDHAAY-UHFFFAOYSA-N","NCCNCCN","0.9864","0.0","1","G1","103.16900000000001","-1.506599999999999","30.978499999999997","7.0","3.0","3.0","3.0","4.0","44.0","0.0","0.0","0.0","0.0","64.07","44.06372094865284","2.447472887876344","26.115877901113386"
"B-633","diethylene glycol monomethyl ether","InChI=1S/C5H12O3/c1-7-4-5-8-3-2-6/h6H,2-5H2,1H3","SBASXUCJHJRPEV-UHFFFAOYSA-N","COCCOCCO","0.9203","0.0","1","G1","120.148","-0.3583","29.780799999999985","8.0","3.0","1.0","3.0","5.0","50.0","0.0","0.0","0.0","0.0","38.69","49.22034369662575","2.53006045688352","32.655022032053594"
"B-634","n-nonane","InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3","BKIMMITUMNQMOS-UHFFFAOYSA-N","CCCCCCCCC","-5.7657","0.057150000000000034","2","G3","128.259","3.7569000000000026","43.667000000000016","9.0","0.0","0.0","0.0","6.0","56.0","0.0","0.0","0.0","0.0","0.0","59.658787943002416","2.595082706793886","33.30296890880646"
"B-637","diethylene glycol monoethyl ether","InChI=1S/C6H14O3/c1-2-8-5-6-9-4-3-7/h7H,2-6H2,1H3","XXJWXESWEXIICW-UHFFFAOYSA-N","CCOCCOCCO","0.8723","0.0","1","G1","134.175","0.031799999999999884","34.39779999999999","9.0","3.0","1.0","3.0","6.0","56.0","0.0","0.0","0.0","0.0","38.69","55.58528581102235","2.595082706793886","41.567631415296866"
"B-638","bis(2-chloroethoxy)methane","InChI=1S/C5H10Cl2O2/c6-1-3-8-5-9-4-2-7/h1-5H2","NLXGURFLBLRZRO-UHFFFAOYSA-N","ClCCOCOCCCl","-1.3461","0.023987079200000094","2","G3","173.039","1.4547","38.211000000000006","9.0","2.0","0.0","4.0","6.0","56.0","0.0","0.0","0.0","0.0","18.46","65.03264239819308","2.595082706793886","46.22265344735047"
"B-640","2-butoxyethanol acetate","InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3","NQBXSWAWVZHKBZ-UHFFFAOYSA-N","CCCCOCCOC(C)=O","-1.2504","0.0","1","G1","160.213","1.3662","42.360000000000014","11.0","3.0","0.0","3.0","6.0","66.0","0.0","0.0","0.0","0.0","35.53","67.68245838766332","2.8497612822334424","101.51029297451521"
"B-643","1,2-bis(2-chloroethoxy)ethane","InChI=1S/C6H12Cl2O2/c7-1-3-9-5-6-10-4-2-8/h1-6H2","AGYUOJIYYGGHKV-UHFFFAOYSA-N","ClCCOCCOCCCl","-0.9955","0.0","1","G1","187.06599999999997","1.4971999999999999","43.07800000000002","10.0","2.0","0.0","4.0","7.0","62.0","0.0","0.0","0.0","0.0","18.46","71.39758451258969","2.6476048489438337","53.70950594454669"
"B-645","diethylene glycol mono-n-butyl ether","InChI=1S/C8H18O3/c1-2-3-5-10-7-8-11-6-4-9/h9H,2-8H2,1H3","OAYXUHPQHDHDDZ-UHFFFAOYSA-N","CCCCOCCOCCO","0.7899","0.0","1","G1","162.22899999999998","0.812","43.63180000000001","11.0","3.0","1.0","3.0","8.0","68.0","0.0","0.0","0.0","0.0","38.69","68.31517003981556","2.6909155266923976","58.35751032880843"
"B-646","methoxy triethylene glycol","InChI=1S/C7H16O4/c1-9-4-5-11-7-6-10-3-2-8/h8H,2-7H2,1H3","JLGLQAWTXXGVEM-UHFFFAOYSA-N","COCCOCCOCCO","0.7846","0.0","1","G1","164.201","-0.34170000000000006","40.59980000000001","11.0","4.0","1.0","4.0","8.0","68.0","0.0","0.0","0.0","0.0","47.92","67.06377315492584","2.6909155266923976","59.460913376568676"
"B-647","bis (2-ethoxy ethyl)  ether","InChI=1S/C8H18O3/c1-3-9-5-7-11-8-6-10-4-2/h3-8H2,1-2H3","RRQYJINTUHWNHW-UHFFFAOYSA-N","CCOCCOCCOCC","0.7899","0.0","1","G1","162.22899999999998","1.076","43.80500000000002","11.0","3.0","0.0","3.0","8.0","68.0","0.0","0.0","0.0","0.0","27.69","68.63448151712643","2.6909155266923976","58.35751032880843"
"B-648","ethoxytriethylene glycol","InChI=1S/C8H18O4/c1-2-10-5-6-12-8-7-11-4-3-9/h9H,2-8H2,1H3","WFSMVVDJSNMRAR-UHFFFAOYSA-N","CCOCCOCCOCCO","0.7490000000000001","0.0","1","G1","178.22799999999998","0.04839999999999983","45.21680000000002","12.0","4.0","1.0","4.0","9.0","74.0","0.0","0.0","0.0","0.0","47.92","73.42871526932245","2.72724281291869","67.45811190640111"
"B-650","ethanol, 2- 2-(hexyloxy)ethoxy -","InChI=1S/C10H22O3/c1-2-3-4-5-7-12-9-10-13-8-6-11/h11H,2-10H2,1H3","GZMAAYIALGURDQ-UHFFFAOYSA-N","CCCCCCOCCOCCO","-1.0490000000000002","0.0","1","G1","190.28299999999996","1.5922","52.86580000000004","13.0","3.0","1.0","3.0","10.0","80.0","0.0","0.0","0.0","0.0","38.69","81.04505426860878","2.7581498184332935","76.23904349481765"
"B-655","eicosane","InChI=1S/C20H42/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3-20H2,1-2H3","CBFCDTFDPHXCNY-UHFFFAOYSA-N","CCCCCCCCCCCCCCCCCCCC","-8.1724","0.0","1","G1","282.5559999999999","8.048000000000007","94.4540000000001","20.0","0.0","0.0","0.0","17.0","122.0","0.0","0.0","0.0","0.0","0.0","129.67315120136516","2.8896766777949185","132.11730005192322"
"B-656","propoxur","InChI=1S/C11H15NO3/c1-8(2)14-9-6-4-5-7-10(9)15-11(13)12-3/h4-8H,1-3H3,(H,12,13)","ISRUGXGCCGIOQO-UHFFFAOYSA-N","CNC(=O)Oc1ccccc1OC(C)C","-2.0512","0.0","1","G1","209.24499999999998","2.192","57.28970000000004","15.0","3.0","1.0","4.0","3.0","82.0","1.0","0.0","0.0","1.0","47.56","89.19458843414556","2.809453207323335","336.3598482774643"
"B-661","dimefox","InChI=1S/C4H12FN2OP/c1-6(2)9(5,8)7(3)4/h1-4H3","PGJBQBDNXAZHBP-UHFFFAOYSA-N","CN(C)[P](F)(=O)N(C)C","0.8121","0.0","1","G1","154.125","1.1872","36.088499999999996","9.0","1.0","0.0","5.0","2.0","56.0","0.0","0.0","0.0","0.0","23.550000000000004","55.04363954672382","4.208996984237657","124.5293250129808"
"B-662","chlorendic acid","InChI=1S/C9H4Cl6O4/c10-3-4(11)8(13)2(6(18)19)1(5(16)17)7(3,12)9(8,14)15/h1-2H,(H,16,17)(H,18,19)","DJKGDNKYTKCJKD-UHFFFAOYSA-N","OC(=O)C1C(C(O)=O)C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl","-2.0457","0.0","1","G1","388.845","3.2335000000000003","72.58860000000003","19.0","2.0","2.0","10.0","2.0","106.0","0.0","1.0","2.0","2.0","74.6","136.68863166952926","2.8385185499997143","486.8028747958183"
"B-663","2-amino-2-methylpropanediol","InChI=1S/C4H11NO2/c1-4(5,2-6)3-7/h6-7H,2-3,5H2,1H3","UXFQFBNBSPQBJW-UHFFFAOYSA-N","CC(N)(CO)CO","0.9782","0.0","1","G1","105.13699999999999","-1.3116","26.763999999999996","7.0","3.0","3.0","3.0","2.0","44.0","0.0","0.0","0.0","0.0","66.48","42.7624355724241","3.3604351426960584","47.65148445440323"
"B-665","2,2-diethyl-1,3-propanediol","InChI=1S/C7H16O2/c1-3-7(4-2,5-8)6-9/h8-9H,3-6H2,1-2H3","XRVCFZPJAHWYTB-UHFFFAOYSA-N","CCC(CC)(CO)CO","0.1798","0.0","1","G1","132.203","0.7773999999999999","37.18659999999999","9.0","2.0","2.0","2.0","4.0","56.0","0.0","0.0","0.0","0.0","40.46","56.51737121860122","3.824684203207495","49.8066274519979"
"B-667","octyldiphenyl phosphate","InChI=1S/C20H27O4P/c1-2-3-4-5-6-13-18-22-25(21,23-19-14-9-7-10-15-19)24-20-16-11-8-12-17-20/h7-12,14-17H,2-6,13,18H2,1H3","YAFOVCNAQTZDQB-UHFFFAOYSA-N","CCCCCCCCO[P](=O)(Oc1ccccc1)Oc2ccccc2","-6.4131","0.0","1","G1","362.40600000000006","6.629600000000007","101.07450000000006","25.0","4.0","0.0","5.0","12.0","136.0","2.0","0.0","0.0","2.0","44.760000000000005","150.29828060372955","1.9078310024202128","585.1591174087094"
"B-668","diphenylmethyl phosphate","InChI=1S/C13H13O4P/c1-15-18(14,16-12-8-4-2-5-9-12)17-13-10-6-3-7-11-13/h2-11H,1H3","VOWPVJACXJNHBC-UHFFFAOYSA-N","CO[P](=O)(Oc1ccccc1)Oc2ccccc2","-2.1209","0.0","1","G1","264.217","3.898900000000002","68.75550000000004","18.0","4.0","0.0","5.0","5.0","94.0","2.0","0.0","0.0","2.0","44.760000000000005","105.74368580295334","2.1376638619969057","481.7022121515442"
"B-669","tri-2-chloroethyl phosphate","InChI=1S/C6H12Cl3O4P/c7-1-4-11-14(10,12-5-2-8)13-6-3-9/h1-6H2","HQUQLFOMPYWACS-UHFFFAOYSA-N","ClCCO[P](=O)(OCCCl)OCCCl","-1.6105","0.027446070350000018","2","G3","285.491","2.8607000000000014","57.622500000000024","14.0","4.0","0.0","8.0","9.0","86.0","0.0","0.0","0.0","0.0","44.760000000000005","98.36400664345334","3.9659458850842926","151.93022690019149"
"B-670","ethoate methyl","InChI=1S/C6H14NO3PS2/c1-4-7-6(8)5-13-11(12,9-2)10-3/h4-5H2,1-3H3,(H,7,8)","DICRHEJCQXFJBY-UHFFFAOYSA-N","CCNC(=O)CS[P](=S)(OC)OC","-1.4567","0.0","1","G1","243.28999999999996","1.373","59.44470000000003","13.0","5.0","1.0","7.0","6.0","78.0","0.0","0.0","0.0","0.0","47.56","87.66738883604764","3.8574536511485706","204.05604504938486"
